Incremental QALY	Incremental Costs
0.206806998	142892.3894
0.168660146	76626.75189
0.106310332	114045.4398
0.158570663	119125.5508
0.15123495	113180.8731
0.130093189	176737.013
0.191351746	209566.7852
0.183220087	148362.7484
0.213743936	178864.4316
0.044026163	153911.3243
0.291165602	108471.3378
0.103802508	101463.5232
0.172760073	67248.60285
0.057929711	131273.8478
0.089858349	190557.1147
0.222615666	151974.3261
0.042594752	146167.2957
0.217595874	170604.1281
0.299221809	120284.0053
0.229796662	77859.1926
0.142054127	178029.3025
0.25518278	174137.2031
0.238967346	163496.2675
0.168077723	146550.2483
0.133302207	203784.3439
0.098937329	134631.8406
0.211758033	131227.9224
0.18635271	100310.0282
0.200637004	133646.6912
0.175702742	145822.7814
0.202128538	217095.4552
0.239046704	160332.9217
0.226458642	176148.6388
0.195952917	187184.6946
0.033503767	164567.1888
0.094236737	74877.17032
0.219603863	177167.6177
0.157749975	191457.3391
0.186902118	163830.1382
0.177530663	112946.4442
0.313006116	135370.1851
0.169696453	158563.9893
0.193382364	177231.9579
0.194250293	64434.98822
0.128622217	111032.2016
0.126542959	142669.4547
0.114925767	124529.9186
0.120340262	128723.6478
0.19494607	184472.041
0.228119241	119775.5525
0.14447344	178369.688
0.186645939	189864.2004
0.098011361	136896.0319
0.175633394	110436.4347
0.290162643	111590.994
0.224681204	166650.8423
0.160098717	165290.5295
0.316980363	184825.5857
0.234218102	175637.2458
0.257744994	126665.3406
0.222819037	196321.8123
0.193791375	94079.71915
0.149574918	164021.9013
0.318716696	136175.5678
0.154091567	100832.5042
0.152056319	104513.8536
0.14236874	68313.97007
0.097202693	132922.0238
0.227085527	81195.19301
0.089236181	143676.1348
0.084315657	100828.2148
0.147481413	114681.5616
0.174780749	202614.3634
0.308990221	83818.41003
0.172385636	151979.4979
0.234118394	196509.9753
0.208497117	169103.0922
0.087398382	137736.2452
0.261522197	125966.9275
0.168102863	97563.20466
0.207048318	59445.94013
0.249710891	122261.2955
0.284303446	188778.9782
0.12146632	111968.947
0.198633986	126214.5293
0.306419973	143825.2759
