Incremental QALY	Incremental Costs
0.317052773	-117176.3937
0.178856497	150907.7147
0.17623629	265132.289
0.264357819	162805.2568
0.249734253	108854.9726
0.300344186	-52388.57852
0.348182961	146364.279
0.370871064	-151349.6871
0.35064369	244697.7561
0.252431399	382900.3808
0.31040273	620618.2563
0.283848904	567747.426
0.204222452	231871.3764
0.261619806	1830.223879
0.136680921	550017.7354
0.036277005	226217.0565
0.281677237	132742.5565
0.099309453	623497.5575
0.15859495	365981.2586
0.242254496	456305.6501
0.282336377	51728.73679
0.337723611	293282.7063
0.23204	501017.5538
0.37724918	392875.1468
0.160319488	428935.5781
0.273864572	588760.0936
0.149999539	558976.5463
0.237874226	426409.0213
0.191659233	588865.1796
0.141827278	404344.5646
0.301435877	429821.7013
0.294754351	447386.2006
0.135277048	504743.3392
0.333403855	483573.8813
0.200217441	-30889.02765
0.144080623	401231.1011
0.180324352	421263.8786
0.078721191	471746.392
0.172543181	273330.5693
0.332773463	44847.64127
0.379009898	-102540.6357
0.231326728	153857.7072
0.242861461	-19916.34178
0.155987546	562964.7606
0.1967062	-148278.3082
0.214641804	135830.8537
0.258688201	371810.2224
0.009213363	-28227.12187
0.255089132	537813.3642
0.44140665	605221.469
0.019250734	59225.80267
0.354350852	431092.1275
0.143969548	486689.4983
0.26829681	266370.5805
0.273001504	354934.3702
0.089484381	107858.5838
0.161579348	420589.2439
0.268092416	730967.3392
0.12559663	563377.2011
0.032652238	112604.8955
0.295437383	231259.1837
0.116554147	-111516.781
0.313368047	206203.3946
0.251428651	-33958.98272
0.251198628	498391.2316
0.417824944	680121.9757
0.159598535	-27698.19429
0.321785255	145929.1837
0.247514958	373219.2667
0.170181388	195785.068
0.19204815	574317.1788
0.223245458	398499.9706
0.225089474	478144.8199
0.266422375	200091.386
0.078537287	265554.933
0.273726473	110680.1226
0.274898775	211797.5439
0.048317063	222714.341
0.102801792	150071.9025
0.196361208	244202.8779
0.148334272	417025.0287
0.189843494	160525.1041
0.068365505	156757.4021
0.159636082	7951.932292
0.320193529	304994.1676
0.134232097	569286.7582
0.368008367	-57058.7956
0.404114212	278003.4402
0.350329267	617885.9576
-0.026662004	259948.2725
0.318983111	55768.11072
0.255110952	188241.0135
0.170784345	473008.261
0.354688177	161812.9265
0.218487613	139358.8774
0.39317231	129835.1737
0.161384829	377582.912
0.187216228	-49981.07616
0.101179453	372148.2439
0.231747589	190125.2894
0.290225873	-52634.85929
0.36846737	612265.0094
0.228569109	640544.2033
0.022386561	474517.5366
0.165170442	310900.1526
0.081430164	377737.5828
0.203940965	535261.3663
0.240324788	337093.8234
0.223019759	288498.9979
0.096558771	170023.2932
0.300019908	657607.4194
0.367550655	-236415.2049
0.184040396	206040.521
0.088202729	439998.7597
0.115042316	-7453.88559
0.215448912	587957.9688
0.239525116	436407.6007
0.18219646	32701.81108
0.060518396	330886.7691
0.219711827	244006.8309
0.10401557	417258.3361
0.033328682	395302.7671
-0.016592216	603405.1861
0.086764531	388678.0013
0.225069548	428563.027
-0.015985143	472409.4191
0.17608194	224960.7545
0.351716414	303654.5964
0.03944199	5411.414631
0.331956502	225339.7429
0.126511469	39064.18898
-0.032282482	191511.3534
0.288186183	134553.4213
0.169364983	522569.2993
0.070029569	100637.0763
0.185696714	383238.5426
0.121971379	259283.7131
0.205766369	-68762.6725
0.159630905	147073.5815
0.03135785	337778.3612
0.19352984	457527.7135
0.267861755	342954.3853
0.124592338	82177.2184
0.272396259	-84359.08945
0.073479519	85339.24435
0.314272567	286382.3741
0.219287067	173049.0769
0.262631948	503718.491
0.256587678	158629.3488
0.374826499	276716.0016
0.1190743	219190.317
0.176075769	482986.7526
0.24521268	81649.44979
0.166274953	459514.7673
-0.007774279	201482.3866
0.230046989	566964.312
0.171627495	48846.47274
0.091152695	-77728.0034
0.376932798	334186.9235
0.249908526	667469.4138
0.113104922	74288.25606
0.162592944	107834.0497
0.217853101	605894.0249
0.308826741	345744.2279
0.241275032	67332.65598
0.341759314	437629.8007
0.120701587	336672.1055
-0.010552904	351086.4939
0.36071924	459064.6375
0.058987083	67535.0091
0.143373019	-28817.47495
0.423673208	349865.7087
0.258685726	260459.0347
0.136269956	35990.24324
0.213193103	396474.4882
0.201773013	409673.6247
0.277780466	698136.1367
0.214866654	647710.674
0.318739722	151353.4989
0.297437669	406658.0423
0.093570408	159073.5586
0.307376401	203604.6966
0.100708293	183936.1671
0.315688206	-41191.99531
0.059031668	269358.7979
0.097513296	439522.3829
0.101381223	529939.8306
0.032349401	-55271.33177
0.196272232	397085.1979
0.297780085	396425.0399
0.173993516	479264.1271
0.215538027	120858.1825
0.193866236	141481.263
0.128507669	611171.8766
0.244849811	372593.0209
0.229892562	196212.5644
0.186082763	58691.11802
0.188755793	669088.1244
0.227717775	79517.1279
0.196988401	264495.6123
0.035290569	414965.0238
0.070434936	194530.9697
0.247822096	547711.1904
0.031053326	728393.152
0.174782826	-65211.28652
0.418057018	188045.1774
0.270044729	201702.3688
0.168998338	-203515.9229
0.214449185	329431.1298
0.171523082	300267.2731
0.373526526	488016.8721
0.078428811	561092.2621
0.262441485	412354.7717
0.14040788	221296.3811
0.369643546	392002.3864
0.160834496	58746.0819
0.186657397	287396.574
0.14969358	281294.0283
0.016999185	36554.27362
