Incremental QALY	Incremental Costs
0.083262358	55062.32612
0.073129152	51267.60809
0.323675841	-18313.96027
0.272737927	67062.07174
0.110996216	68727.84385
0.187063278	68365.00776
0.037481558	72609.89929
0.172030936	26533.91245
0.23128161	-29044.88156
0.20807861	-126025.4201
0.138608178	60524.86451
0.249359522	84783.17662
0.105771068	-120299.1706
0.311590749	-67584.85095
0.057995545	51568.23372
0.323396171	-121159.2863
0.070844662	122828.1981
0.303000733	-24195.72968
0.121178313	-44209.28896
0.189777765	19841.861
0.08636978	3769.99386
0.246958013	-107802.3277
0.129152732	-108359.1417
0.093632394	-80599.6946
0.13772237	127065.9041
0.092715953	-119704.3774
0.2030438	-35838.48813
0.131143916	57592.13768
0.124286103	-117033.3492
0.000567258	-91202.26902
0.203180779	-56708.68004
0.261163391	-80294.7185
0.024767493	-19955.97086
0.133744574	-36061.55057
0.262836795	-71636.30855
0.081877159	92695.90336
0.116744937	94592.89911
0.259979561	-44773.50849
0.143022083	8314.45435
0.215045678	-11907.53089
0.386641188	32889.65707
0.344723397	-10569.55643
0.032436743	105186.5804
0.142241566	-65807.31818
0.245548591	-71353.4432
0.056867035	25482.87539
0.143106987	-47099.15474
0.245189132	-59719.98375
0.288065112	-132954.5924
-0.011039813	-68737.9127
0.300583685	-103095.9873
0.235157144	-61480.89231
0.247702132	77796.97408
0.374424355	-7564.565089
0.328705353	72102.40759
0.232124444	-22608.60495
0.31800101	-773.8030044
0.198821259	-79793.93985
0.276101342	-5430.633796
0.183008522	-59397.0076
0.103523534	50942.73693
0.275889752	-79525.30276
0.047097725	-109981.3557
0.210410942	123417.4944
0.221783963	-112301.4072
0.057941494	-57944.10986
0.284549988	-46493.74201
0.188887774	-58300.43071
0.12777154	-74064.82037
0.197603736	51920.63919
0.253937105	24964.78383
0.24825274	77012.5273
0.177384897	32638.71252
0.352668239	-4755.315262
0.033474023	77789.58053
0.019470452	-131389.8666
0.035497719	-36397.33609
0.129599663	-22038.31556
0.126460324	100572.8753
0.026901442	45783.29984
